Unique.ID,GBS,GH.Pos,Tube.No,Pod.Produced,Medic.spp,Range,Site.ID,Origin,Community,changed from MSU shipment name,MSU.Genotype,Generation.Received,WSU.Genotype,Planted,Flowered,flowertime,flowertime140,Lat,Long,Lat.Group,growthstage_13days,growthstage_26days,growthstagedifference,leafcount_13days,leafcount_26days,leafdifference,Seedling.Notes 4.22.16,NonPoly,Status
W0565,no,22,444,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC16,F1,MP-ARC16-F1,4/9/16,6/24/16,76,76,40.870111,-124.112735,3,4,7,3,0,4,4,hairy,yes,1
W0603,yes,23,252,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC27,F1,MP-ARC27-F1,4/9/16,6/13/16,65,65,40.870111,-124.112735,3,5,7,2,1,4,3,,no,1
W0616,no,24,390,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC18,F1,MP-ARC18-F1,4/9/16,7/25/16,107,107,40.870111,-124.112735,3,4,7,3,0,3,3,,no,1
W0685,no,25,627,Field,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC05-02,F0,MP-ARC05-02-F0,4/9/16,6/6/16,58,58,40.870111,-124.112735,3,5,7,2,1,4,3,,no,1
W0704,yes,26,426,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC03,F1,MP-ARC03-F1,4/9/16,6/17/16,69,69,40.870111,-124.112735,3,5,7,2,1,3,2,,no,1
W0757,yes,27,399,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC25,F1,MP-ARC25-F1,4/9/16,6/8/16,60,60,40.870111,-124.112735,3,5,7,2,1,3,2,,no,1
W0792,yes,28,108,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC20,F1,MP-ARC20-F1,4/9/16,NA,NA,140,40.870111,-124.112735,3,5,7,2,1,3,2,,no,0
W0831,no,29,210,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC10,F1,MP-ARC10-F1,4/9/16,8/1/16,114,114,40.870111,-124.112735,3,5,7,2,1,2,1,hairy,yes,1
W0872,no,30,576,Field,Mlup,Invaded,ASH,"Santa Fe, NM, USA",,,ASU14,F0,ML-ASU14-F0,4/9/16,6/15/16,67,67,35.667044,-105.971696,,4,7,3,0,2,2,slightly hairy,yes,1
W0881,no,30,808,Field,Mlup,Invaded,ASH,"Santa Fe, NM, USA",,,ASH13,F0,ML-ASH13-F0,4/9/16,6/10/16,62,62,35.667044,-105.971696,,4,6,2,0,2,2,slightly hairy,yes,1
W0948,no,30,563,Field,Mlup,Invaded,ASH,"Santa Fe, NM, USA",,,ASH27,F0,ML-ASH27-F0,4/9/16,6/13/16,65,65,35.667044,-105.971696,,4,6,2,0,2,2,"slightly hairy, one small",yes,1
W0019,yes,1,938,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-15,AUR15,F0,MP-AUR15-F0,4/9/16,5/17/16,38,38,45.54167,10.21667,6,4,7,3,0,3,3,,no,1
W0207,yes,10,925,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-02,AUR02,F0,MP-AUR02-F0,4/9/16,5/31/16,52,52,45.54167,10.21667,6,4,7,3,0,3,3,,no,1
W0278,yes,11,935,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-12,AUR12,F0,MP-AUR12-F0,4/9/16,6/22/16,74,74,45.54167,10.21667,6,5,7,2,1,3,2,,no,1
W0310,yes,12,940,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-17,AUR17,F0,MP-AUR17-F0,4/9/16,6/8/16,60,60,45.54167,10.21667,6,4,8,4,0,5,5,,no,1
W0353,yes,14,939,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-16,AUR16,F0,MP-AUR16-F0,4/9/16,6/13/16,65,65,45.54167,10.21667,6,4,7,3,0,2,2,,no,1
W0383,yes,15,931,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-08,AUR08,F0,MP-AUR08-F0,4/9/16,6/1/16,53,53,45.54167,10.21667,6,4,8,4,0,6,6,,no,1
W0471,yes,17,932,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-09,AUR09,F0,MP-AUR09-F0,4/9/16,6/1/16,53,53,45.54167,10.21667,6,4,8,4,0,5,5,,no,1
W0567,yes,22,941,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-18,AUR18,F0,MP-AUR18-F0,4/9/16,5/17/16,38,38,45.54167,10.21667,6,4,7,3,0,3,3,,no,1
W0679,yes,25,933,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-10,AUR10,F0,MP-AUR10-F0,4/9/16,5/17/16,38,38,45.54167,10.21667,6,5,8,3,1,6,5,,no,1
W0712,yes,26,924,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-01,AUR01,F0,MP-AUR01-F0,4/9/16,6/24/16,76,76,45.54167,10.21667,6,4,8,4,0,6,6,,no,1
W0824,yes,29,937,Field,Mpol,Native,AUR,"Aurelius, actually near Breccia, Italy",,AURc1-14,AUR14,F0,MP-AUR14-F0,4/9/16,5/17/16,38,38,45.54167,10.21667,6,4,7,3,0,3,3,,no,1
W0882,no,30,554,Field,Mlup,Invaded,AVP,"Glorieta, NM, USA",,,AVP02,F0,ML-AVP02-F0,4/9/16,6/13/16,65,65,35.582838,-105.770197,,4,7,3,0,3,3,slightly hairy,yes,1
W0032,yes,1,216,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN08,F1,MP-AZN08-F1,4/9/16,5/31/16,52,52,37.531929,-6.286561,2,4,7,3,0,3,3,,no,1
W0066,yes,2,355,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN15,F1,MP-AZN15-F1,4/9/16,6/1/16,53,53,37.531929,-6.286561,2,4,8,4,0,5,5,,no,1
W0089,yes,4,170,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN17,F1,MP-AZN17-F1,4/9/16,6/1/16,53,53,37.531929,-6.286561,2,4,7,3,0,4,4,,no,1
W0144,no,7,369,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN19,F1,MP-AZN19-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,7,3,0,3,3,,no,1
W0175,yes,9,200,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN20,F1,MP-AZN20-F1,4/9/16,5/31/16,52,52,37.531929,-6.286561,2,5,9,4,1,7,6,,no,1
W0231,yes,10,221,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN02,F1,MP-AZN02-F1,4/9/16,6/2/16,54,54,37.531929,-6.286561,2,4,7,3,0,3,3,,no,1
W0265,yes,11,16,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN06,F1,MP-AZN06-F1,4/9/16,6/2/16,54,54,37.531929,-6.286561,2,4,8,4,0,6,6,,no,1
W0311,no,12,139,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN10,F1,MP-AZN10-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,7,3,0,3,3,,no,1
W0352,no,14,261,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN09,F1,MP-AZN09-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,5,7,2,1,3,2,,no,1
W0393,yes,15,7,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN03,F1,MP-AZN03-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,8,4,0,5,5,,no,1
W0472,yes,17,232,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN04,F1,MP-AZN04-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,7,3,0,3,3,,no,1
W0493,no,19,10,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN16,F1,MP-AZN16-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,7,3,0,3,3,,no,1
W0524,no,21,285,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN14,F1,MP-AZN14-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,7,3,0,2,2,,no,1
W0575,no,22,337,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN11,F1,MP-AZN11-F1,4/9/16,6/8/16,60,60,37.531929,-6.286561,2,4,7,3,0,3,3,,no,1
W0645,yes,24,275,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN12,F1,MP-AZN12-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,5,7,2,1,3,2,,no,1
W0662,yes,25,6,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN05,F1,MP-AZN05-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,8,4,0,5,5,,no,1
W0728,yes,26,76,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN01,F1,MP-AZN01-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,4,8,4,0,6,6,,no,1
W0758,yes,27,214,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN18,F1,MP-AZN18-F1,4/9/16,6/10/16,62,62,37.531929,-6.286561,2,5,7,2,1,3,2,,no,1
W0786,yes,28,229,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN13,F1,MP-AZN13-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,5,8,3,1,5,4,1 with unhealthy unifoliate,no,1
W0839,yes,29,364,MSU,Mpol,Native,AZN,"Aznalcollar, Seville, Spain",,,AZN07,F1,MP-AZN07-F1,4/9/16,6/6/16,58,58,37.531929,-6.286561,2,5,8,3,1,5,4,,no,1
W0949,no,30,574,Field,Mlup,Invaded,BHB,"Bar Harbor, ME, USA",,,BHB09,F0,ML-BHB09-F0,4/9/16,6/6/16,58,58,44.38583,-68.2094,,4,7,3,0,2,2,slightly hairy,yes,1
W0017,yes,1,187,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-08,F1,MP-BHI33-08-F1,4/9/16,5/31/16,52,52,37.880417,-122.258565,2,4,8,4,0,6,6,,no,1
W0059,no,2,438,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-15,F1,MP-BHI33-15-F1,4/9/16,6/2/16,54,54,37.880417,-122.258565,2,4,7,3,0,3,3,,no,1
W0104,yes,4,183,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-17,F1,MP-BHI33-17-F1,4/9/16,6/1/16,53,53,37.880417,-122.258565,2,4,8,4,0,5,5,,no,1
W0126,no,6,631,Field,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-21,F0,MP-BHI33-21-F0,4/9/16,6/2/16,54,54,37.880417,-122.258565,2,2,7,5,0,3,3,all small,no,1
W0156,no,7,107,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-19,F1,MP-BHI33-19-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,2,4,7,3,0,3,3,,no,1
W0176,yes,9,15,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-20,F1,MP-BHI33-20-F1,4/9/16,6/1/16,53,53,37.880417,-122.258565,2,4,7,3,0,4,4,,no,1
W0236,yes,10,361,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-02,F1,MP-BHI33-02-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,2,4,7,3,0,4,4,,no,1
W0266,yes,11,440,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-06,F1,MP-BHI33-06-F1,4/9/16,6/2/16,54,54,37.880417,-122.258565,2,5,8,3,1,6,5,,no,1
W0285,yes,12,169,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-10,F1,MP-BHI33-10-F1,4/9/16,6/1/16,53,53,37.880417,-122.258565,3,4,8,4,0,6,6,,no,1
W0349,yes,14,340,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-09,F1,MP-BHI33-09-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,3,5,7,2,1,3,2,,no,1
W0382,yes,15,350,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-03,F1,MP-BHI33-03-F1,4/9/16,6/1/16,53,53,37.880417,-122.258565,3,5,7,2,1,3,2,,no,1
W0463,yes,17,297,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-04,F1,MP-BHI33-04-F1,4/9/16,6/2/16,54,54,37.880417,-122.258565,3,4,7,3,0,4,4,,no,1
