"Sample","Site","Replicate","Genotype","Range","PODHr0","PODHr4","PODHr24"
"W0165","CDC",1,"CDCc2-05","Native",1.36846622302689,1.39113698559568,2.87935669766549
"W0165","CDC",2,"CDCc2-05","Native",1.37046289590321,1.42205502499899,3.13778797027989
"W0165","CDC",3,"CDCc2-05","Native",1.36779977848373,1.3828905163552,3.25565585884381
"W0166","HIG",1,"HIG12-02","Native",1.36077249232477,1.37878762345614,4.19910966256016
"W0166","HIG",2,"HIG12-02","Native",1.35804769499859,1.39055875990635,4.0990951649807
"W0166","HIG",3,"HIG12-02","Native",1.41827098438599,1.37878762345614,4.0110779685227
"W0167","ARC",1,"ARC28","Invasive",1.33630667169258,1.3753052395443,3.07589331742079
"W0167","ARC",2,"ARC28","Invasive",1.33444099950964,1.37737491948282,2.98839774926303
"W0167","ARC",3,"ARC28","Invasive",1.33909866978362,1.37461439323012,3.05545150825561
"W0168","NAR",1,"NARc3-03","Native",1.31990960445856,1.34373474670109,2.72704370494106
"W0168","NAR",2,"NARc3-03","Native",1.31885308032436,1.34683552437934,2.72726245152402
"W0168","NAR",3,"NARc3-03","Native",1.34287512316325,1.36067125623199,2.83772802441074
"W0419","CDC",1,"CDCc2-07-01","Native",1.87947846535293,1.4072010459392,2.11617710700355
"W0419","CDC",2,"CDCc2-07-01","Native",1.79818284897781,1.41178820994611,2.19045308834217
"W0419","CDC",3,"CDCc2-07-01","Native",1.85832800231012,1.37329949426352,2.1412139032129
"W0420","SAN",1,"SAN30-01","Native",2.36100738711418,1.16315080980568,2.49999623034178
"W0420","SAN",2,"SAN30-01","Native",2.46506337125907,1.29928298413026,2.27661568412185
"W0420","SAN",3,"SAN30-01","Native",2.4111113241899,1.16315080980568,2.42910582507864
"W0422","MUS",1,"MUSs2-06","Native",1.6729254613257,1.37624402526639,1.92356575360551
"W0422","MUS",2,"MUSs2-06","Native",1.67764616246063,1.39128190263093,2.03060641247071
"W0422","MUS",3,"MUSs2-06","Native",1.74149763444717,1.36863942588117,2.0576224942852
"W0423","HIG",1,"HIG13-02","Native",1.4221038138166,1.23040606139409,1.58028993488344
"W0423","HIG",2,"HIG13-02","Native",1.42438535712891,1.23560988926912,1.56291789679921
"W0423","HIG",3,"HIG13-02","Native",1.42027482382343,1.23733849816974,1.5962605621683
"W0424","LDS",1,"LDSc3-13","Native",1.60248309056073,1.39915409840558,2.63838641379003
"W0424","LDS",2,"LDSc3-13","Native",1.59648307256063,1.41978710990101,2.56567137915355
"W0424","LDS",3,"LDSc3-13","Native",1.59848708124735,1.38493103439203,2.55442103367269
"W0425","NAR",1,"NARc3-05","Native",1.34992671694902,1.35995038578029,1.83056162108453
"W0425","NAR",2,"NARc3-05","Native",1.34992671694902,1.34547236659964,1.79324204918828
"W0425","NAR",3,"NARc3-05","Native",1.32311545949836,1.3496303767483,1.81377062932941
"W0426","DEB",1,"DEB32","Native",1.35788634874777,1.39118434641408,2.60561638701463
"W0426","DEB",2,"DEB32","Native",1.36850215969542,1.42161103304479,2.50243792630216
"W0426","DEB",3,"DEB32","Native",1.36532923265485,1.39685927044011,2.55241960979952
"W0476","DEB",1,"DEB32-02","Native",1.71859489337072,1.3711485953119,2.77595132581921
"W0476","DEB",2,"DEB32-02","Native",1.71086431925586,1.37435629653867,2.80281586687185
"W0476","DEB",3,"DEB32-02","Native",1.70530566125203,1.37275373209312,2.65286236992542
"W0478","SAN",1,"SAN31-01","Native",4.59343492976967,1.3699579418002,1.78015183451159
"W0478","SAN",2,"SAN31-01","Native",4.52540521751923,1.36366366452881,1.83457625222227
"W0478","SAN",3,"SAN31-01","Native",4.60433650523951,1.37621284882331,1.80376441532488
"W0479","CDC",1,"CDCc2-09","Native",1.66518792753859,1.36705559921198,2.23094321333552
"W0479","CDC",2,"CDCc2-09","Native",1.67021938469396,1.36394275623149,2.12469813326796
"W0479","CDC",3,"CDCc2-09","Native",1.66770682055808,1.36472187586576,2.18896006748633
"W0480","HIG",1,"HIG15-02","Native",1.43508452528932,1.38159584033834,2.70670791902148
"W0480","HIG",2,"HIG15-02","Native",1.42467860412821,1.3800247481063,2.4654359593464
"W0480","HIG",3,"HIG15-02","Native",1.42676846904767,1.46585618395608,2.45788486803536
"W0513","CDC",1,"CDCc2-06-02","Native",2.34005602442354,1.38249929015134,2.7362210780689
"W0513","CDC",2,"CDCc2-06-02","Native",2.4556962716882,1.38186537570856,2.78358249047199
"W0513","CDC",3,"CDCc2-06-02","Native",2.31343510901811,1.38123105916334,2.6725052636828
"W0514","HIG",1,"HIG13-01","Native",1.90624977882746,1.24242399070019,3.40708717571822
"W0514","HIG",2,"HIG13-01","Native",1.87679651191397,1.2435780589183,3.34456005318033
"W0514","HIG",3,"HIG13-01","Native",1.85389125033506,1.24588220740315,3.19011164354068
"W0515","NAR",1,"NARc3-05","Native",1.61933354018832,1.35967869442,2.67201781546452
"W0515","NAR",2,"NARc3-05","Native",1.6215193334083,1.36466126576446,2.83828398150518
"W0515","NAR",3,"NARc3-05","Native",1.61933354018832,1.36267121535645,2.63108915996608
"W0516","DEB",1,"DEB31","Native",-0.192371892647456,1.38178549679842,1.87723328325909
"W0516","DEB",2,"DEB31","Native",-0.22314355131421,1.37984688552892,1.88599639966722
"W0516","DEB",3,"DEB31","Native",-0.287682072451781,1.38113971053123,1.87926236748587
"W0517","ARC",1,"ARC29-01","Invasive",1.35258330377758,1.38293752681634,2.62388253159602
"W0517","ARC",2,"ARC29-01","Invasive",1.37378551142818,1.38763394604895,2.70945483662963
"W0517","ARC",3,"ARC29-01","Invasive",1.34972207149655,1.38830306618097,2.89471305708382
"W0518","MUS",1,"MUSs2-05","Native",1.3022837365695,1.34659449127321,2.18566375493514
"W0518","MUS",2,"MUSs2-05","Native",1.3022837365695,1.34815091182086,2.05213236231062
"W0518","MUS",3,"MUSs2-05","Native",1.30676804901683,1.37121111890856,2.08051854770747
"W0600","NAR",1,"NARc3-03","Native",2.33163277843428,1.3910722010736,2.87003758839027
"W0600","NAR",2,"NARc3-03","Native",2.18900374419136,1.38533604767808,2.68755167955387
"W0600","NAR",3,"NARc3-03","Native",1.04639520668599,1.38820823730217,2.89519104433211
"W0601","DEB",1,"DEB28-03","Native",2.21744878979885,1.38895040517801,2.27446223408215
"W0601","DEB",2,"DEB28-03","Native",2.22165489484312,1.40343387099659,2.15088239480543
"W0601","DEB",3,"DEB28-03","Native",1.90691060959801,1.3975341488694,2.21113300738235
"W0603","ARC",1,"ARC27","Invasive",1.3204477953223,1.38911523746153,3.30684459781416
"W0603","ARC",2,"ARC27","Invasive",1.34628902650619,1.38911523746153,3.07577498122753
"W0603","ARC",3,"ARC27","Invasive",2.69885775291804,1.39892610802579,3.02182564278186
"W0604","MUS",1,"MUSs2-02","Native",1.26025364022453,1.3456796419657,1.70248411119443
"W0604","MUS",2,"MUSs2-02","Native",1.26768861871204,1.4777527178771,1.76145411973273
"W0604","MUS",3,"MUSs2-02","Native",1.21444410419323,1.35342161611932,1.69429107492285
"W0605","LDS",1,"LDSc3-09","Native",1.99522346259582,1.39459316393459,3.02795929737516
"W0605","LDS",2,"LDSc3-09","Native",2.05707794559298,1.39459316393459,2.84545007050465
"W0605","LDS",3,"LDSc3-09","Native",1.74919985480926,1.39459316393459,2.96122909747432
"W0606","LIS",1,"LIS21","Native",1.75536958034308,1.39064534695422,2.09195505762914
"W0606","LIS",2,"LIS21","Native",1.73777566122888,1.39064534695422,2.11355805796396
"W0606","LIS",3,"LIS21","Native",1.74125612669452,1.39209147880422,2.11711361726529
"W0607","MEL",1,"MEL30","Invasive",1.52977608459758,1.38384837539163,2.07662860030322
"W0607","MEL",2,"MEL30","Invasive",1.48290239963982,1.37400416135685,2.11055362588179
"W0607","MEL",3,"MEL30","Invasive",1.49322507194723,1.37400416135685,2.07521915679999
"W0609","CDC",1,"CDCc2-04","Native",1.364095096476,2.02083775606208,3.1630988093992
"W0609","CDC",2,"CDCc2-04","Native",1.37489822638902,1.96235580749512,3.18039483804992
"W0609","CDC",3,"CDCc2-04","Native",1.36626507924432,1.97482479697485,3.15059698411491
"W0610","BHI",1,"BHI33-22","Invasive",1.35180818504872,2.63154619836526,2.97164941478501
"W0610","BHI",2,"BHI33-22","Invasive",1.30695761888337,2.55833411834282,3.11056585004041
"W0610","BHI",3,"BHI33-22","Invasive",1.31153428591078,2.59026716544583,3.09949512808852
"W0611","SAN",1,"SAN27-01","Native",1.26566637333128,2.63488195820478,3.48811296862345
"W0611","SAN",2,"SAN27-01","Native",1.25276296849537,2.56302442905195,3.68253754758865
"W0611","SAN",3,"SAN27-01","Native",1.25600446241954,2.62708113856854,3.82789149019223
"W0613","HIG",1,"HIG12-01","Native",0.873273346790463,1.37723707400738,3.43371379368372
"W0613","HIG",2,"HIG12-01","Native",0.89501333342687,1.38054013233664,1.41140028225097
"W0613","HIG",3,"HIG12-01","Native",0.931956848618556,1.38218757916724,3.56114237997039
"W0747","CRG",1,"CRG18","Native",2.20932759950746,2.31206383694859,2.61251777438065
"W0747","CRG",2,"CRG18","Native",2.18958512077826,2.30258509299405,2.6264785474084
"W0747","CRG",3,"CRG18","Native",2.16001098099579,2.39789527279837,2.5438959482637
"W0748","LIS",1,"LIS17","Native",2.22911794111217,2.7172035830887,2.69473442512644
"W0748","LIS",2,"LIS17","Native",2.17920607183354,2.92149166660997,2.6689353024562
"W0748","LIS",3,"LIS17","Native",2.23167712357099,2.86613402267631,2.61814864869035
"W0749","HIG",1,"HIG10-01","Native",2.03096912363393,1.38278353246983,3.11949096477651
"W0749","HIG",2,"HIG10-01","Native",2.047875075712,1.38278353246983,2.94966661032659
"W0749","HIG",3,"HIG10-01","Native",1.9745517250187,1.37454334458437,3.13711656869598
"W0750","CDC",1,"CDCc2-01","Native",1.79302129904848,1.37919373957031,2.83974996235872
"W0750","CDC",2,"CDCc2-01","Native",1.79616892519147,1.3797873875545,2.83519865342381
"W0750","CDC",3,"CDCc2-01","Native",1.7892310228747,1.37919373957031,2.8706592166322
"W0751","SAN",1,"SAN20-02","Native",1.2549583590588,1.32648869225943,2.91750132343463
"W0751","SAN",2,"SAN20-02","Native",1.25641927969848,1.33736373764831,3.04657696234971
"W0751","SAN",3,"SAN20-02","Native",1.2593347336586,1.33440952575088,3.00975312179593
"W0752","CAM",1,"CAM19","Native",1.27531585315784,1.26500302338987,2.89087668090613
"W0752","CAM",2,"CAM19","Native",1.20983792377833,1.27106732335738,2.76000994003292
"W0752","CAM",3,"CAM19","Native",1.20983792377833,1.27589242318914,2.99527762476235
"W0753","DEB",1,"DEB26","Native",1.30377333743189,1.37836230819999,3.0893417726763
"W0753","DEB",2,"DEB26","Native",1.30779748773161,1.3817694665216,3.23684426236182
"W0753","DEB",3,"DEB26","Native",1.30913528057327,1.39472374511429,3.22148922937972
