Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Protein,Range,Genotype,Site
A03,W0513,0,0.0055,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1738,291674.5818,Native,CDCc2-06-02,CDC
A04,W0121,0,0.0562,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1854,30521.82562,Native,DEB28-02,DEB
A05,W0121,0,0.0562,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1911,31493.36121,Native,DEB28-02,DEB
A06,W0121,0,0.0562,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1909,31459.27224,Native,DEB28-02,DEB
A07,W0122,0,0.0324,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2004,57376.90123,Native,LIS20,LIS
A08,W0122,0,0.0324,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1978,56608.21605,Native,LIS20,LIS
A09,W0122,0,0.0324,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1978,56608.21605,Native,LIS20,LIS
A10,W0514,0,0.0169,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.178,97304.26036,Native,HIG13-01,HIG
A11,W0514,0,0.0169,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1811,99061.35503,Native,HIG13-01,HIG
A12,W0514,0,0.0169,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1837,100535.0473,Native,HIG13-01,HIG
B01,W0123,0,0.0263,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.19,66896.95817,Native,HIG11-02,HIG
B02,W0123,0,0.0263,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1883,66277.78327,Native,HIG11-02,HIG
B03,W0123,0,0.0263,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.189,66532.73764,Native,HIG11-02,HIG
B04,W0515,0,0.0181,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1552,78786.78453,Native,NARc3-05,NAR
B05,W0515,0,0.0181,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1571,79792.31492,Native,NARc3-05,NAR
B06,W0515,0,0.0181,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1552,78786.78453,Native,NARc3-05,NAR
B07,W0124,0,0.0234,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1642,64626.1453,Native,NARc3-02,NAR
B08,W0124,0,0.0234,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1655,65158.31197,Native,NARc3-02,NAR
B09,W0124,0,0.0234,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1647,64830.82479,Native,NARc3-02,NAR
B10,W0516,0,0.004,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1554,356989.15,Native,DEB31,DEB
B11,W0516,0,0.004,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1582,363694.45,Native,DEB31,DEB
B12,W0516,0,0.004,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1595,366807.625,Native,DEB31,DEB
C01,W0127,0,0.0214,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2463,107415.3131,Native,LDSc3-07,LDS
C02,W0127,0,0.0214,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.236,102804.8598,Native,LDSc3-07,LDS
C03,W0127,0,0.0214,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2199,95598.22897,Native,LDSc3-07,LDS
C04,W0128,0,0.0456,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1888,38331.03509,Native,SAN20-05,SAN
C05,W0128,0,0.0456,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.184,37322.7193,Native,SAN20-05,SAN
C06,W0128,0,0.0456,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1825,37007.62061,Native,SAN20-05,SAN
C07,W0517,0,0.0181,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.154,78151.71271,Invasive,ARC29-01,ARC
C08,W0517,0,0.0181,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1581,80321.54144,Invasive,ARC29-01,ARC
C09,W0517,0,0.0181,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1541,78204.63536,Invasive,ARC29-01,ARC
C10,W0518,0,0.0121,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1662,126562.7934,Native,MUSs2-05,MUS
C11,W0518,0,0.0121,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1659,126325.2975,Native,MUSs2-05,MUS
C12,W0518,0,0.0121,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1741,132816.8512,Native,MUSs2-05,MUS
D01,W0130,0,0.0258,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2286,82524.78295,Invasive,ARC26,ARC
D02,W0130,0,0.0258,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2269,81893.60853,Invasive,ARC26,ARC
D03,W0130,0,0.0258,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2265,81745.0969,Invasive,ARC26,ARC
D04,W0132,0,0.0376,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1996,49237.98936,Native,CDCc2-04,CDC
D05,W0132,0,0.0376,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2143,52982.97074,Native,CDCc2-04,CDC
D06,W0132,0,0.0376,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2104,51989.40426,Native,CDCc2-04,CDC
D07,W0520,0,0.0239,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1933,74937.26778,Invasive,PI458758,Chi
D08,W0520,0,0.0239,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1941,75257.90377,Invasive,PI458758,Chi
D09,W0520,0,0.0239,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1886,73053.53138,Invasive,PI458758,Chi
D10,W0134,0,0.043,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2052,44302.11163,Native,NARc2-01,NAR
D11,W0134,0,0.043,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2051,44279.83488,Native,NARc2-01,NAR
D12,W0134,0,0.043,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2126,45950.5907,Native,NARc2-01,NAR
E01,W0135,0,0.0274,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2467,84033.55109,Native,HUE19,HUE
E02,W0135,0,0.0274,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2384,81131.88321,Native,HUE19,HUE
E03,W0135,0,0.0274,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2257,76691.98175,Native,HUE19,HUE
E04,W0522,0,0.0231,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1826,73095.47186,Native,W65319,Gre
E05,W0522,0,0.0231,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1917,76869.01732,Native,W65319,Gre
E06,W0522,0,0.0231,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1928,77325.16017,Native,W65319,Gre
E07,W0137,0,0.0302,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2142,65933.83444,Native,FUSF5,FUS
E08,W0137,0,0.0302,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2209,68058.97682,Native,FUSF5,FUS
E09,W0137,0,0.0302,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2282,70374.43046,Native,FUSF5,FUS
E10,W0138,0,0.0204,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.249,113948.5784,Native,LDSc3-04,LDS
E11,W0138,0,0.0204,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2394,109440.8137,Native,LDSc3-04,LDS
