"Sample","Site","Replicate","Genotype","Range","PPOHr0","PPOHr4","PPOHr24"
"W0156","BHI",3,"BHI33-19","Invasive",0.135174778368253,0.766967092795211,0.797926131793122
"W0157","MUS",1,"MUSs1-15","Native",0.4239271709479,0.972032714882391,1.24918514714748
"W0157","MUS",2,"MUSs1-15","Native",0.403392568506192,1.41687298822538,1.26694760348732
"W0157","MUS",3,"MUSs1-15","Native",0.419853845560264,0.965990400426429,1.30494872166594
"W0158","SAN",1,"SAN28-01","Native",0.877940926499291,1.09137112741155,0.493359487362672
"W0158","SAN",2,"SAN28-01","Native",0.862736763538855,1.1270637098925,0.495514660610656
"W0158","SAN",3,"SAN28-01","Native",0.871058586876347,1.1100901765128,0.480329987072338
"W0161","LDS",1,"LDSc3-10","Native",0.29259608725421,0.50321378872636,0.675009832582827
"W0161","LDS",2,"LDSc3-10","Native",0.268408861640206,0.516025351860561,0.681643356078461
"W0161","LDS",3,"LDSc3-10","Native",0.334006144126019,0.428885382316262,0.458499804764251
"W0162","DEB",1,"DEB28-04","Native",0.409042929456048,0.883500909051165,0.900786545338189
"W0162","DEB",2,"DEB28-04","Native",0.52491938684185,0.776657813433117,0.637318731007004
"W0162","DEB",3,"DEB28-04","Native",0.449636326421302,0.728016006210767,0.454039778256722
"W0163","LIS",1,"LIS22","Native",0.544463982914821,1.17897679843614,0.606954469191151
"W0163","LIS",2,"LIS22","Native",0.615659685081571,1.13826204827225,0.577051909017282
"W0163","LIS",3,"LIS22","Native",0.492232790689375,1.1193169620298,0.464734516565724
"W0165","CDC",1,"CDCc2-05","Native",0.168261571225656,0.539158299940224,0.827998124728478
"W0165","CDC",2,"CDCc2-05","Native",0.168261571225656,0.542550049941345,0.775894785744184
"W0165","CDC",3,"CDCc2-05","Native",0.172676589434773,0.518562606268143,0.651811556502038
"W0166","HIG",1,"HIG12-02","Native",0.247771466204562,0.850954171590313,1.6141885151927
"W0166","HIG",2,"HIG12-02","Native",0.136180400796099,0.781048474846001,1.61734309194121
"W0166","HIG",3,"HIG12-02","Native",0.138492540554479,0.849127687064281,1.62362254742606
"W0167","ARC",1,"ARC28","Invasive",0.163227897978375,0.49429632181478,0.673729094702844
