ExptDate,AssayID,InsectSpp,Site,PlantID,Replicate,Genotype,Range,InitialWeight,FinalWeight,TotalWeight,PropLeafEaten,PropTotalEaten,WL_own,WL_total,Ratio_Consumed
7/6/16,V021,Velvetbean,NAR,W0255,1,NARc1-03,Native,0.0616,0.0616,0.11497,0,0,0,0,0.895634251
7/6/16,V022,Velvetbean,AUR,W0278,1,AUR12,Native,0.15844,0.0509,0.19356,0.678742742,0.555589998,1,1,1.719468698
7/6/16,V023,Velvetbean,DEB,W0819,1,DEB08,Native,0.08043,0.0742,0.13619,0.07745866,0.045744915,1,1,1.008924704
7/6/16,V024,Velvetbean,SAN,W0816,1,SAN12-01,Native,0.10479,0.0585,0.12538,0.441740624,0.369197639,1,1,1.426761809
7/6/16,V025,Velvetbean,HIG,W0271,1,HIG20-01,Native,0.10439,0.0982,0.18326,0.059296868,0.033777147,0,0,0.881481734
7/8/16,V026,Velvetbean,MIR,W0364,1,MIRc1-09,Native,0.0783,0.0523,0.1337,0.332056194,0.194465221,1,1,1.345797296
7/8/16,V027,Velvetbean,ORB,W0287,1,ORB13,Native,0.0512,0.0195,0.1283,0.619140625,0.247077163,1,1,2.526881506
7/8/16,V028,Velvetbean,SAN,W0290,1,SAN37-01,Native,0.1091,0.0466,0.1625,0.572868928,0.384615385,1,1,1.573953963
7/8/16,V029,Velvetbean,SCA,W0295,1,SCAc2-12,Native,0.1111,0.1024,0.1702,0.078307831,0.051116334,1,1,1.007857115
7/8/16,V030,Velvetbean,HIG,W0304,1,HIG05-01,Native,0.1066,0.0579,0.158,0.45684803,0.308227848,0,1,0.72354724
7/8/16,V031,Velvetbean,HUE,W0305,1,HUE10,Native,0.1298,0.0614,0.2255,0.526964561,0.303325942,1,1,1.915197125
7/8/16,V032,Velvetbean,COS,W0306,1,COS11,Native,0.1,0.0596,0.1965,0.404,0.205597964,1,1,1.316201273
7/8/16,V033,Velvetbean,CAM,W0307,1,CAM11,Native,0.1173,0.0945,0.2097,0.194373402,0.108726753,1,1,1.110963375
7/8/16,V035,Velvetbean,SAN,W0321,1,SAN16-01,Native,0.1328,0.1208,0.2699,0.090361446,0.044460911,0,0,0.956608267
7/12/16,V036,Velvetbean,CRG,W0614,1,CRG12,Native,0.0634,0.0537,0.0895,0.152996845,0.108379888,0,0,0.339262399
7/12/16,V037,Velvetbean,BOL,W0617,1,BOL13,Native,0.0515,0.0493,0.0881,0.042718447,0.024971623,0,0,0.89335395
7/12/16,V038,Velvetbean,FUR,W0618,1,FURc1-12,Native,0.1056,0.0711,0.1497,0.326704545,0.230460922,0,0,0.252590488
7/12/16,V039,Velvetbean,CAM,W0619,1,CAM13,Native,0.0825,0.0604,0.1375,0.267878788,0.160727273,0,0,0.479304636
7/12/16,V040,Velvetbean,RHA,W0627,1,RHA13,Native,0.0727,0.0318,0.1137,0.56258597,0.359718558,1,1,1.578010431
7/12/16,V041,Velvetbean,CVD,W0623,1,CVD13,Native,0.0686,0.0519,0.104,0.243440233,0.160576923,1,1,1.217225651
7/12/16,V042,Velvetbean,RTM,W0624,1,RTM18,Native,0.048,0.0078,0.0924,0.8375,0.435064935,1,1,1.03950104
7/12/16,V043,Velvetbean,DEB,W0625,1,DEB14-02,Native,0.062,0.0602,0.137,0.029032258,0.013138686,0,0,0.973599114
7/12/16,V044,Velvetbean,HIG,W0626,1,HIG25-02,Native,0.1061,0.0774,0.1864,0.270499529,0.153969957,1,1,1.275203452
7/12/16,V046,Velvetbean,SAN,W0771,1,SAN18-01,Native,0.1161,0.084,0.1691,0.276485788,0.189828504,1,1,1.311731806
7/12/16,V047,Velvetbean,FUS,W0774,1,FUSD5,Native,0.0762,0.0406,0.1318,0.467191601,0.270106222,1,1,1.826212921
7/12/16,V048,Velvetbean,CAM,W0776,1,CAM14,Native,0.01183,0.01183,0.07473,0,0,0,0,0.895071542
7/12/16,V049,Velvetbean,DEB,W0779,1,DEB15,Native,0.0795,0.0429,0.1766,0.460377358,0.207248018,0,0,0.7805737
7/12/16,V050,Velvetbean,RTM,W0781,1,RTM19,Native,0.0516,0.044,0.1437,0.147286822,0.052887961,0,0,0.583180338
7/12/16,V051,Velvetbean,CAR,W0834,1,CAR08,Native,0.0875,0.0552,0.1365,0.369142857,0.236630037,1,1,1.232531056
7/12/16,V052,Velvetbean,LIS,W0446,1,LIS03,Native,0.1432,0.0945,0.1867,0.340083799,0.260846277,1,1,1.435222283
7/12/16,V053,Velvetbean,HIG,W0450,1,HIG19-01,Native,0.1103,0.1045,0.1941,0.052583862,0.029881504,0,0,0.597026413
7/12/16,V054,Velvetbean,POR,W0451,1,PI493291,Native,0.07,0.0658,0.1381,0.06,0.030412744,0,0,0.459274534
7/12/16,V055,Velvetbean,NAR,W0452,1,NARc1-02,Native,0.0971,0.075,0.1315,0.227600412,0.168060837,1,1,1.008635659
