"Well","Sample","Time","Weight","Replicate","Hour","PCheck","Plate","fileName","Absorbance","Protein","Range","Genotype","Site"
"F07","W0114",0,0.0239,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.176,68003.5146443515,"Native","W65327","Fra_cor"
"F08","W0114",0,0.0239,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1605,61791.1924686193,"Native","W65327","Fra_cor"
"F09","W0114",0,0.0239,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1581,60829.2845188284,"Native","W65327","Fra_cor"
"F10","W0478",0,0.0012,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2036,1574720.33333333,"Native","SAN31-01","SAN"
"F11","W0478",0,0.0012,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2039,1577115.08333333,"Native","SAN31-01","SAN"
"F12","W0478",0,0.0012,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1983,1532413.08333333,"Native","SAN31-01","SAN"
"G01","W0115",0,0.0223,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2338,97710.7713004484,"Native","MUSs2-09","MUS"
"G02","W0115",0,0.0223,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2271,94832.7757847534,"Native","MUSs2-09","MUS"
"G03","W0115",0,0.0223,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2161,90107.7085201794,"Native","MUSs2-09","MUS"
"G04","W0479",0,0.015,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1485,90790.7666666667,"Native","CDCc2-09","CDC"
"G05","W0479",0,0.015,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1485,90790.7666666667,"Native","CDCc2-09","CDC"
"G06","W0479",0,0.015,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1525,93345.1666666667,"Native","CDCc2-09","CDC"
"G07","W0480",0,0.0115,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2091,168899.904347826,"Native","HIG15-02","HIG"
"G08","W0480",0,0.0115,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1993,160736.930434783,"Native","HIG15-02","HIG"
"G09","W0480",0,0.0115,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1968,158654.539130435,"Native","HIG15-02","HIG"
"G10","W0116",0,0.0085,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1738,188730.611764706,"Native","NARc3-08","NAR"
"G11","W0116",0,0.0085,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1784,193914.541176471,"Native","NARc3-08","NAR"
"G12","W0116",0,0.0085,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.18,195717.647058824,"Native","NARc3-08","NAR"
"H01","W0117",0,0.0109,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2347,200694.614678899,"Native","HIG16-01","HIG"
"H02","W0117",0,0.0109,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2238,191115.614678899,"Native","HIG16-01","HIG"
"H03","W0117",0,0.0109,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2248,191994.422018349,"Native","HIG16-01","HIG"
"H04","W0118",0,0.0247,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1436,53235.8056680162,"Native","CDCc2-13","CDC"
"H05","W0118",0,0.0247,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1385,51257.955465587,"Native","CDCc2-13","CDC"
"H06","W0118",0,0.0247,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1392,51529.4251012146,"Native","CDCc2-13","CDC"
"H07","W0119",0,0.0266,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1643,56887.5827067669,"Native","PI478440","Bol"
"H08","W0119",0,0.0266,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1606,55555.1654135338,"Native","PI478440","Bol"
"H09","W0119",0,0.0266,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1561,53934.6578947368,"Native","PI478440","Bol"
"H10","W0120",0,0.0309,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.186,55698.1877022654,"Native","MUSs2-01","MUS"
"H11","W0120",0,0.0309,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1835,54923.1877022654,"Native","MUSs2-01","MUS"
"H12","W0120",0,0.0309,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1816,54334.1877022654,"Native","MUSs2-01","MUS"
"A01","W0513",0,0.0055,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1732,290629.6,"Native","CDCc2-06-02","CDC"
"A02","W0513",0,0.0055,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.167,279831.454545455,"Native","CDCc2-06-02","CDC"
