"Sample","Site","Replicate","Genotype","Range","0hr","4hr","24hr"
"W0163","LIS",1,"LIS22","Native",11.4166403583692,10.9945168392804,10.829817868904
"W0163","LIS",2,"LIS22","Native",11.3541264398059,10.9985471640803,10.8286780830536
"W0163","LIS",3,"LIS22","Native",11.3281861456225,10.985728341721,10.8683654822692
"W0165","CDC",1,"CDCc2-05","Native",11.0502310165422,10.3094562878028,10.9821278368646
"W0165","CDC",2,"CDCc2-05","Native",11.0668209372365,10.3417719223888,10.9918299147442
"W0165","CDC",3,"CDCc2-05","Native",11.0750138166609,10.3765587413813,10.979256278126
"W0166","HIG",1,"HIG12-02","Native",11.2489942492756,11.1682976860782,11.8451462168242
"W0166","HIG",2,"HIG12-02","Native",11.2420226089434,11.1809290770771,11.8505848088436
"W0166","HIG",3,"HIG12-02","Native",11.1659064801316,11.1905815755005,11.844600726625
"W0167","ARC",1,"ARC28","Invasive",11.3336289451748,10.652847192565,11.7778030184792
"W0167","ARC",2,"ARC28","Invasive",11.3307801904776,10.6910749991806,11.7778030184792
"W0167","ARC",3,"ARC28","Invasive",11.3110241505404,10.6964187453711,11.7828785536402
"W0168","NAR",1,"NARc3-03","Native",11.4236898843817,11.3543929768108,10.9323774872811
"W0168","NAR",2,"NARc3-03","Native",11.3587018641343,11.3463431088075,10.9738698703201
"W0168","NAR",3,"NARc3-03","Native",11.2623183472291,11.3402628953257,11.0030972254845
"W0419","CDC",1,"CDCc2-07-01","Native",10.4050227900986,11.1217307946306,10.4033520203233
"W0419","CDC",2,"CDCc2-07-01","Native",10.3927131478799,11.1042890660307,10.4102606593364
"W0419","CDC",3,"CDCc2-07-01","Native",10.4075683367259,11.1110334727237,10.4189850011142
"W0420","SAN",1,"SAN30-01","Native",11.7488475744248,13.7992806290082,10.4909091263562
"W0420","SAN",2,"SAN30-01","Native",11.7445324823017,13.7822613452279,10.5073707473418
"W0420","SAN",3,"SAN30-01","Native",11.7009709206216,13.7992806290082,10.5115947059915
"W0422","MUS",1,"MUSs2-06","Native",11.7275580775772,11.8949954966571,10.9480656362315
"W0422","MUS",2,"MUSs2-06","Native",11.7519383292121,11.9105628831615,10.9486716177221
"W0422","MUS",3,"MUSs2-06","Native",11.7052286219304,11.9060473749338,10.950487361672
"W0423","HIG",1,"HIG13-02","Native",10.3035550389919,11.3537246239351,10.2566344074817
"W0423","HIG",2,"HIG13-02","Native",10.2882381366567,11.3409403031506,10.2504983486674
"W0423","HIG",3,"HIG13-02","Native",10.267653779515,11.3676670756933,10.2393576596995
"W0424","LDS",1,"LDSc3-13","Native",11.1873114696594,10.5749974906923,11.1941883604177
"W0424","LDS",2,"LDSc3-13","Native",11.1760844177267,10.5796541826226,11.2058720600573
"W0424","LDS",3,"LDSc3-13","Native",11.1767483333812,10.5934955467524,11.2113591567888
"W0425","NAR",1,"NARc3-05","Native",12.447714572798,11.6379439857022,10.7198133413248
"W0425","NAR",2,"NARc3-05","Native",12.4492486494934,11.6325191981018,10.7052581097537
