"Sample","Time","Weight","Hour","meanSubAbs","seSubAbs","meanAbs","seAbs","PIse","PI_g","PIse2","PIse1","PI","Range","Genotype","Site"
"W0148",24,0.0292,"24hr",0.0532666666666667,0.00197005358077162,0.0392666666666667,0.00335675107474144,55.005948303533,-1221.01541968044,0.0450493477944192,0.00126352694528157,-35.6536502546689,"Native","W64614","Leb2"
"W0149",0,0.0339,"0hr",0.198466666666667,0.0383205920854281,0.1891,0.0446578473880385,2.31711636354848,-146.114675581221,0.0158582042107088,0.00320155133406945,-4.95328750220341,"Native","CRG20","CRG"
"W0149",4,0.0339,"4hr",0.221533333333333,0.00416826635958457,0.235233333333333,0.015738311359369,0.654895136018971,171.7995437907,0.00381197249753361,0.000654527735160454,5.82400453450474,"Native","CRG20","CRG"
"W0149",24,0.0339,"24hr",0.0624,0.0317626090448082,0.0392666666666667,0.00335675107474144,839.770595378807,-1737.8587776893,0.483221425215798,0.00820223110812982,-58.9134125636672,"Native","CRG20","CRG"
"W0152",0,0.031,"0hr",0.1784,0.018711226576577,0.1891,0.0446578473880385,2.5178137017432,182.528445437642,0.0137940894401764,0.00243781524592277,5.6583818085669,"Native","DEB27","DEB"
"W0152",4,0.031,"4hr",0.226933333333333,0.0114609966601707,0.235233333333333,0.015738311359369,0.324772265485538,113.819726009864,0.00285339173507932,0.00080869017969698,3.52841150630578,"Native","DEB27","DEB"
"W0152",24,0.031,"24hr",0.0300666666666667,0.0110297073598734,0.0392666666666667,0.00335675107474144,51.072697386687,755.791664384687,0.0675751001147476,0.00288418362083959,23.4295415959253,"Native","DEB27","DEB"
"W0153",0,0.0244,"0hr",0.119866666666667,0.0161732632589853,0.1891,0.0446578473880385,94.7136156829672,1500.49269909523,0.0631216771265052,0.00172406968867917,36.6120218579235,"Invasive","DCR19","DCR"
"W0153",4,0.0244,"4hr",0.167066666666667,0.00683430887345441,0.235233333333333,0.015738311359369,19.167945930939,1187.63604094992,0.0161395791892671,0.00055695359578806,28.9783193991781,"Invasive","DCR19","DCR"
"W0153",24,0.0244,"24hr",0.0675666666666667,0.00983468917206391,0.0392666666666667,0.00335675107474144,618.332101588009,-2953.74210247989,0.209338554327025,0.0029046032626294,-72.0713073005093,"Invasive","DCR19","DCR"
"W0154",0,0.0271,"0hr",0.2155,0.00518555686498567,0.1891,0.0446578473880385,19.4563030189755,-515.16115372682,0.0377674109901788,0.00270523387054652,-13.9608672659968,"Native","LIS18","LIS"
"W0154",4,0.0271,"4hr",0.1997,0.0365639622214734,0.235233333333333,0.015738311359369,13.9339790311094,557.401067846586,0.0249981204466305,0.00165489433388247,15.1055689386425,"Native","LIS18","LIS"
"W0154",24,0.0271,"24hr",0.0402333333333333,0.00587489952632762,0.0392666666666667,0.00335675107474144,0.387710939716998,-90.8413158834473,0.00426800224046122,0.00173369194457356,-2.46179966044142,"Native","LIS18","LIS"
"W0155",0,0.0355,"0hr",0.258533333333333,0.0357721648461171,0.1891,0.0446578473880385,142.114600887943,-1034.30383109516,0.137401212888738,0.00374208872164097,-36.717786003878,"Invasive","MLR20","MLR"
"W0155",4,0.0355,"4hr",0.1748,0.00117898261225517,0.235233333333333,0.015738311359369,9.29018883814519,723.684604438306,0.0128373448615172,0.000499686390996838,25.6908034575599,"Invasive","MLR20","MLR"
"W0155",24,0.0355,"24hr",0.0548,0.00127017059221718,0.0392666666666667,0.00335675107474144,54.4889542454419,-1114.32602405605,0.0488985746263978,0.00123610559892482,-39.5585738539898,"Invasive","MLR20","MLR"
"W0156",0,0.038,"0hr",0.129133333333333,0.0107641896015342,0.1891,0.0446578473880385,45.2587777277411,834.516221807825,0.0542335505829908,0.00171021085301449,31.7116164286974,"Invasive","BHI33-19","BHI"
"W0156",4,0.038,"4hr",0.179566666666667,0.0696933840316122,0.235233333333333,0.015738311359369,44.3057896329104,622.748596018884,0.0711455472017908,0.00300643189582657,23.6644466487176,"Invasive","BHI33-19","BHI"
"W0156",24,0.038,"24hr",-0.00656666666666666,0.0516465337118034,0.0392666666666667,0.00335675107474144,4716.00236580063,3071.66473058708,1.53532458111054,0.0131535444112598,116.723259762309,"Invasive","BHI33-19","BHI"
"W0157",0,0.0161,"0hr",0.140566666666667,0.000233333333333341,0.1891,0.0446578473880385,71.8255745435328,1594.12625786525,0.0450563901003155,0.00175552816647726,25.6654327516305,"Native","MUSs1-15","MUS"
"W0157",4,0.0161,"4hr",0.1825,0.00319739477283199,0.235233333333333,0.015738311359369,16.7483514088191,1392.38868591778,0.0120285029447648,0.000536568554242763,22.4174578432762,"Native","MUSs1-15","MUS"
"W0157",24,0.0161,"24hr",0.0257666666666667,0.0120909516214031,0.0392666666666667,0.00335675107474144,229.78400164265,2135.42270824326,0.107605862181585,0.00312986927530634,34.3803056027165,"Native","MUSs1-15","MUS"
"W0158",0,0.0303,"0hr",0.1789,0.029096563370955,0.1891,0.0446578473880385,2.60490678995299,178.018859527413,0.0146327574329386,0.00271279846134184,5.3939714436806,"Native","SAN28-01","SAN"
"W0158",4,0.0303,"4hr",0.172466666666667,0.00339329404037499,0.235233333333333,0.015738311359369,12.0141806911555,880.618032045517,0.0136428965271682,0.000511300694594934,26.6827263709792,"Native","SAN28-01","SAN"
"W0158",24,0.0303,"24hr",-0.186133333333333,0.182565945467506,0.0392666666666667,0.00335675107474144,507523.467528676,18944.6788481904,26.7897635845727,0.0466701294034703,574.02376910017,"Native","SAN28-01","SAN"
"W0160",0,0.0173,"0hr",0.1809,0.0214112120161377,0.1891,0.0446578473880385,2.74670816322329,250.654912377768,0.0109581262029433,0.00252705081094705,4.33632998413539,"Native","PI404356","Brazil"
"W0160",4,0.0173,"4hr",0.191566666666667,0.0139243591514216,0.235233333333333,0.015738311359369,16.0248739666269,1073.01322591188,0.0149344608059314,0.00080452282372105,18.5631288082755,"Native","PI404356","Brazil"
"W0160",24,0.0173,"24hr",0.0621333333333333,0.00197174485615603,0.0392666666666667,0.00335675107474144,282.840111686532,-3366.14424369707,0.0840249529461298,0.00144287747187377,-58.2342954159593,"Native","PI404356","Brazil"
"W0161",0,0.0406,"0hr",0.160066666666667,0.0183657592032323,0.1891,0.0446578473880385,12.9038202594986,378.163264065633,0.034122352659985,0.00222245817037996,15.3534285210647,"Native","LDSc3-10","LDS"
"W0161",4,0.0406,"4hr",0.1711,0.00407062648740952,0.235233333333333,0.015738311359369,9.45604234280997,671.519945608281,0.0140815509720183,0.000516494309820859,27.2637097916962,"Native","LDSc3-10","LDS"
"W0161",24,0.0406,"24hr",0.0684,0.0126064798152908,0.0392666666666667,0.00335675107474144,479.831370255212,-1827.4273001748,0.262572070697047,0.00353901486591672,-74.1935483870968,"Native","LDSc3-10","LDS"
"W0162",0,0.0465,"0hr",0.212166666666667,0.0710850507803465,0.1891,0.0446578473880385,14.7165857166912,-262.325408604046,0.0561004966884638,0.00459910574730716,-12.1981315000881,"Native","DEB28-04","DEB"
"W0162",4,0.0465,"4hr",0.342666666666667,0.0471209908403652,0.235233333333333,0.015738311359369,99.9260041642578,-982.171290307344,0.101739895220302,0.00222767123974455,-45.6709649992915,"Native","DEB28-04","DEB"
"W0162",24,0.0465,"24hr",0.0468,0.00381182371050918,0.0392666666666667,0.00335675107474144,11.1392293310956,-412.581923069902,0.0269988303128063,0.00140728416409229,-19.1850594227504,"Native","DEB28-04","DEB"
"W0163",0,0.0228,"0hr",0.157466666666667,0.0202512825382603,0.1891,0.0446578473880385,27.483497038294,733.700106073398,0.0374587611624859,0.00223923658666789,16.7283624184735,"Native","LIS22","LIS"
